"","C.MZ.2018.S02.OK649266","C.MZ.2018.S04.OK649268","C.MZ.2018.S06.OK649270","C.MZ.2018.S23.OK649287","C.MZ.2018.S29.OK649293","01_AE.TH.2018.A_OnART_47.ON903098","01_AE.TH.2018.A_OnART_06.ON903078","01_AE.TH.2018.B_OnART_62.ON863057","01_AE.TH.2018.B_OnART_09.ON863022","01_AE.TH.2018.C_OnART_64.ON863108","B.US.2018.101-LN-1N18.MK169417","B.US.2018.101-LN-2M5.MK169418","B.US.2018.101-LN-5K17.MK169422","B.US.2018.101-PB-8C9.MK169431","B.US.2018.101-PB-22F9.MK169441"
"C.MZ.2018.S02.OK649266",0,0.079852990310725,0.079852990310725,0.0755095222185099,0.0761777480788507,0.113932509188106,0.115603073838958,0.119278316070832,0.119612429001002,0.11727363848981,0.110591379886402,0.110591379886402,0.110925492816572,0.111593718676913,0.110591379886402
"C.MZ.2018.S04.OK649268",0.079852990310725,0,0,0.0735048446374875,0.0741730704978283,0.113264283327765,0.114600735048446,0.119278316070832,0.11760775141998,0.116271299699298,0.105579685933846,0.105579685933846,0.105579685933846,0.106916137654527,0.105579685933846
"C.MZ.2018.S06.OK649270",0.079852990310725,0,0,0.0735048446374875,0.0741730704978283,0.113264283327765,0.114600735048446,0.119278316070832,0.11760775141998,0.116271299699298,0.105579685933846,0.105579685933846,0.105579685933846,0.106916137654527,0.105579685933846
"C.MZ.2018.S23.OK649287",0.0755095222185099,0.0735048446374875,0.0735048446374875,0,0.00200467758102239,0.113264283327765,0.112261944537254,0.120280654861343,0.119946541931173,0.11727363848981,0.10958904109589,0.109923154026061,0.10958904109589,0.111593718676913,0.109923154026061
"C.MZ.2018.S29.OK649293",0.0761777480788507,0.0741730704978283,0.0741730704978283,0.00200467758102239,0,0.114266622118276,0.113264283327765,0.121282993651854,0.120948880721684,0.118275977280321,0.110591379886402,0.110925492816572,0.110591379886402,0.112596057467424,0.110925492816572
"01_AE.TH.2018.A_OnART_47.ON903098",0.113932509188106,0.113264283327765,0.113264283327765,0.113264283327765,0.114266622118276,0,0.0120280654861343,0.0491146007350484,0.0481122619445373,0.0501169395255596,0.10925492816572,0.10925492816572,0.10892081523555,0.110591379886402,0.10925492816572
"01_AE.TH.2018.A_OnART_06.ON903078",0.115603073838958,0.114600735048446,0.114600735048446,0.112261944537254,0.113264283327765,0.0120280654861343,0,0.0507851653859004,0.0491146007350484,0.0514533912462412,0.109923154026061,0.109923154026061,0.10958904109589,0.111259605746742,0.109923154026061
"01_AE.TH.2018.B_OnART_62.ON863057",0.119278316070832,0.119278316070832,0.119278316070832,0.120280654861343,0.121282993651854,0.0491146007350484,0.0507851653859004,0,0.00400935516204477,0.0551286334781156,0.115268960908787,0.115268960908787,0.114934847978617,0.116271299699298,0.115268960908787
"01_AE.TH.2018.B_OnART_09.ON863022",0.119612429001002,0.11760775141998,0.11760775141998,0.119946541931173,0.120948880721684,0.0481122619445373,0.0491146007350484,0.00400935516204477,0,0.0534580688272636,0.114600735048446,0.114600735048446,0.114266622118276,0.115603073838958,0.114600735048446
"01_AE.TH.2018.C_OnART_64.ON863108",0.11727363848981,0.116271299699298,0.116271299699298,0.11727363848981,0.118275977280321,0.0501169395255596,0.0514533912462412,0.0551286334781156,0.0534580688272636,0,0.109923154026061,0.110591379886402,0.10958904109589,0.111593718676913,0.110591379886402
"B.US.2018.101-LN-1N18.MK169417",0.110591379886402,0.105579685933846,0.105579685933846,0.10958904109589,0.110591379886402,0.10925492816572,0.109923154026061,0.115268960908787,0.114600735048446,0.109923154026061,0,0.00133645172068159,0.00267290344136318,0.00334112930170398,0.00133645172068159
"B.US.2018.101-LN-2M5.MK169418",0.110591379886402,0.105579685933846,0.105579685933846,0.109923154026061,0.110925492816572,0.10925492816572,0.109923154026061,0.115268960908787,0.114600735048446,0.110591379886402,0.00133645172068159,0,0.00267290344136318,0.00334112930170398,0.00133645172068159
"B.US.2018.101-LN-5K17.MK169422",0.110925492816572,0.105579685933846,0.105579685933846,0.10958904109589,0.110591379886402,0.10892081523555,0.10958904109589,0.114934847978617,0.114266622118276,0.10958904109589,0.00267290344136318,0.00267290344136318,0,0.00467758102238557,0.00267290344136318
"B.US.2018.101-PB-8C9.MK169431",0.111593718676913,0.106916137654527,0.106916137654527,0.111593718676913,0.112596057467424,0.110591379886402,0.111259605746742,0.116271299699298,0.115603073838958,0.111593718676913,0.00334112930170398,0.00334112930170398,0.00467758102238557,0,0.00334112930170398
"B.US.2018.101-PB-22F9.MK169441",0.110591379886402,0.105579685933846,0.105579685933846,0.109923154026061,0.110925492816572,0.10925492816572,0.109923154026061,0.115268960908787,0.114600735048446,0.110591379886402,0.00133645172068159,0.00133645172068159,0.00267290344136318,0.00334112930170398,0
